"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 08:00","2021","10","03","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 09:00","2021","10","03","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 10:00","2021","10","03","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 11:00","2021","10","03","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 12:00","2021","10","03","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 13:00","2021","10","03","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 14:00","2021","10","03","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 15:00","2021","10","03","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 16:00","2021","10","03","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 17:00","2021","10","03","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 18:00","2021","10","03","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 19:00","2021","10","03","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 20:00","2021","10","03","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 21:00","2021","10","03","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 22:00","2021","10","03","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-03 23:00","2021","10","03","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 00:00","2021","10","04","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 01:00","2021","10","04","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 02:00","2021","10","04","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 03:00","2021","10","04","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 04:00","2021","10","04","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 05:00","2021","10","04","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 06:00","2021","10","04","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 07:00","2021","10","04","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 08:00","2021","10","04","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 09:00","2021","10","04","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 10:00","2021","10","04","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 11:00","2021","10","04","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 12:00","2021","10","04","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 13:00","2021","10","04","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 14:00","2021","10","04","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 15:00","2021","10","04","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 16:00","2021","10","04","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 17:00","2021","10","04","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 18:00","2021","10","04","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 19:00","2021","10","04","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 20:00","2021","10","04","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 21:00","2021","10","04","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 22:00","2021","10","04","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-04 23:00","2021","10","04","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 00:00","2021","10","05","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 01:00","2021","10","05","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 02:00","2021","10","05","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 03:00","2021","10","05","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 04:00","2021","10","05","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 05:00","2021","10","05","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 06:00","2021","10","05","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 07:00","2021","10","05","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 08:00","2021","10","05","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 09:00","2021","10","05","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 10:00","2021","10","05","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 11:00","2021","10","05","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 12:00","2021","10","05","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 13:00","2021","10","05","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 14:00","2021","10","05","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 15:00","2021","10","05","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 16:00","2021","10","05","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 17:00","2021","10","05","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 18:00","2021","10","05","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 19:00","2021","10","05","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 20:00","2021","10","05","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 21:00","2021","10","05","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 22:00","2021","10","05","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-05 23:00","2021","10","05","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 00:00","2021","10","06","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 01:00","2021","10","06","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 02:00","2021","10","06","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 03:00","2021","10","06","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 04:00","2021","10","06","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 05:00","2021","10","06","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 06:00","2021","10","06","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 07:00","2021","10","06","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 08:00","2021","10","06","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 09:00","2021","10","06","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 10:00","2021","10","06","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 11:00","2021","10","06","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 12:00","2021","10","06","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 13:00","2021","10","06","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 14:00","2021","10","06","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 15:00","2021","10","06","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 16:00","2021","10","06","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 17:00","2021","10","06","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 18:00","2021","10","06","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 19:00","2021","10","06","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 20:00","2021","10","06","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 21:00","2021","10","06","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 22:00","2021","10","06","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-06 23:00","2021","10","06","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 00:00","2021","10","07","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 01:00","2021","10","07","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 02:00","2021","10","07","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 03:00","2021","10","07","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 04:00","2021","10","07","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 05:00","2021","10","07","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 06:00","2021","10","07","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 07:00","2021","10","07","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 08:00","2021","10","07","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 09:00","2021","10","07","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 10:00","2021","10","07","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 11:00","2021","10","07","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 12:00","2021","10","07","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 13:00","2021","10","07","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 14:00","2021","10","07","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 15:00","2021","10","07","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 16:00","2021","10","07","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 17:00","2021","10","07","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 18:00","2021","10","07","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 19:00","2021","10","07","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 20:00","2021","10","07","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 21:00","2021","10","07","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 22:00","2021","10","07","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-07 23:00","2021","10","07","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 00:00","2021","10","08","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 01:00","2021","10","08","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 02:00","2021","10","08","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 03:00","2021","10","08","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 04:00","2021","10","08","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 05:00","2021","10","08","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 06:00","2021","10","08","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 07:00","2021","10","08","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 08:00","2021","10","08","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 09:00","2021","10","08","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 10:00","2021","10","08","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 11:00","2021","10","08","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 12:00","2021","10","08","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 13:00","2021","10","08","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 14:00","2021","10","08","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 15:00","2021","10","08","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 16:00","2021","10","08","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 17:00","2021","10","08","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 18:00","2021","10","08","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 19:00","2021","10","08","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 20:00","2021","10","08","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 21:00","2021","10","08","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 22:00","2021","10","08","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-08 23:00","2021","10","08","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 00:00","2021","10","09","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 01:00","2021","10","09","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 02:00","2021","10","09","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 03:00","2021","10","09","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 04:00","2021","10","09","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 05:00","2021","10","09","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 06:00","2021","10","09","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 07:00","2021","10","09","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 08:00","2021","10","09","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 09:00","2021","10","09","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 10:00","2021","10","09","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 11:00","2021","10","09","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 12:00","2021","10","09","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 13:00","2021","10","09","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 14:00","2021","10","09","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 15:00","2021","10","09","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 16:00","2021","10","09","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 17:00","2021","10","09","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 18:00","2021","10","09","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 19:00","2021","10","09","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 20:00","2021","10","09","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 21:00","2021","10","09","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 22:00","2021","10","09","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-09 23:00","2021","10","09","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 00:00","2021","10","10","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 01:00","2021","10","10","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 02:00","2021","10","10","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 03:00","2021","10","10","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 04:00","2021","10","10","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 05:00","2021","10","10","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 06:00","2021","10","10","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 07:00","2021","10","10","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 08:00","2021","10","10","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 09:00","2021","10","10","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 10:00","2021","10","10","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 11:00","2021","10","10","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 12:00","2021","10","10","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 13:00","2021","10","10","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 14:00","2021","10","10","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 15:00","2021","10","10","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 16:00","2021","10","10","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 17:00","2021","10","10","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 18:00","2021","10","10","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 19:00","2021","10","10","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 20:00","2021","10","10","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 21:00","2021","10","10","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 22:00","2021","10","10","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-10 23:00","2021","10","10","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 00:00","2021","10","11","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 01:00","2021","10","11","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 02:00","2021","10","11","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 03:00","2021","10","11","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 04:00","2021","10","11","04:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 05:00","2021","10","11","05:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 06:00","2021","10","11","06:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 07:00","2021","10","11","07:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 08:00","2021","10","11","08:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 09:00","2021","10","11","09:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 10:00","2021","10","11","10:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 11:00","2021","10","11","11:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 12:00","2021","10","11","12:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 13:00","2021","10","11","13:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 14:00","2021","10","11","14:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 15:00","2021","10","11","15:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 16:00","2021","10","11","16:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 17:00","2021","10","11","17:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 18:00","2021","10","11","18:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 19:00","2021","10","11","19:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 20:00","2021","10","11","20:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 21:00","2021","10","11","21:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 22:00","2021","10","11","22:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-11 23:00","2021","10","11","23:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-12 00:00","2021","10","12","00:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-12 01:00","2021","10","12","01:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-12 02:00","2021","10","12","02:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-12 03:00","2021","10","12","03:00"
"-113.47","53.67","EDMONTON NAMAO A","3012210","2021-10-12 04:00","2021","10","12","04:00"
